Lote,Individuo,AE,LE,AT,LT,AA,LA,NV,Morfotipo,Labio
318,23,5.85,1.80,12.14,9.22,6.44,6.03,4.82,LU,0
318,24,7.04,2.16,14.40,11.03,7.49,6.87,5.10,LB,0
318,25,5.59,1.57,12.29,8.61,6.83,5.34,4.95,LU,1
318,26,3.49,0.95,8.70,6.26,4.97,4.65,4.16,LB,0
318,27,4.40,1.28,10.18,7.60,5.72,5.13,4.48,LB,1
320,8,7.20,2.08,15.00,10.76,8.43,6.45,5.38,LU,1
320,9,6.62,2.02,13.93,10.83,8.26,6.15,5.40,LU,1
320,10,6.37,2.09,13.32,9.83,7.71,5.57,5.17,LU,1
320,11,6.02,1.68,12.85,9.18,7.42,5.59,5.32,LU,1
320,12,5.72,1.86,11.33,8.81,6.56,4.97,5.06,LU,1
320,13,5.58,1.61,11.50,8.79,6.88,5.32,5.11,LU,1
320,14,6.99,2.06,14.48,10.50,8.45,6.62,5.24,LU,1
320,15,5.80,1.97,12.66,9.70,7.70,5.94,5.23,LU,1
320,16,7.94,2.90,16.35,12.77,9.40,7.44,5.86,LU,1
320,17,6.25,1.76,13.00,10.33,7.61,6.24,5.16,LU,1
320,18,6.07,1.92,12.57,9.71,7.50,5.76,5.54,LU,1
320,19,6.14,2.04,11.78,9.69,6.93,5.01,5.26,LU,1
320,20,5.99,1.89,11.75,9.47,6.94,5.85,5.12,LU,0
320,21,5.81,1.68,11.49,8.99,6.79,5.18,5.02,LU,0
320,22,7.29,2.19,15.06,11.61,8.61,7.03,5.43,LU,1
320,23,5.35,1.33,11.42,7.68,6.23,5.15,4.86,LU,0
320,24,5.34,1.48,11.43,8.83,7.06,5.44,4.91,LU,1
320,25,6.02,2.32,11.28,9.42,6.02,5.53,5.32,LU,0
320,26,6.32,2.11,12.01,9.41,7.11,5.63,5.25,LU,0
320,27,4.97,1.27,10.56,8.00,6.83,5.29,4.72,LU,0
331,7,7.33,2.16,15.23,11.54,9.20,7.23,5.34,LU,1
331,8,7.24,1.70,15.90,11.07,9.91,7.16,5.20,LU,1
331,9,7.38,1.84,15.49,10.95,8.95,6.79,5.55,LU,1
331,10,6.75,2.12,14.05,10.68,8.76,6.70,5.36,LU,1
331,11,6.49,1.56,13.64,9.76,7.83,5.83,4.97,LU,1
