Lote,Individuo,AE,LE,AT,LT,AA,LA,NV,Morfotipo,Labio
122,31,6.54,1.67,13.77,9.84,7.75,6.24,5.16,LU,0
122,31,6.49,1.67,13.86,9.74,7.78,6.21,5.19,LU,0
122,31,6.53,1.68,13.67,9.80,7.67,6.23,5.20,LU,0
122,32,5.95,1.61,12.50,9.46,7.42,5.76,5.13,LU,1
122,32,5.85,1.66,12.44,9.54,7.36,5.86,5.11,LU,1
122,32,5.99,1.64,12.44,9.49,7.36,5.85,5.12,LU,1
122,32,5.95,1.61,12.66,9.38,7.54,5.88,5.11,LU,1
122,33,6.64,1.87,13.66,9.93,7.75,6.16,5.35,LU,0
122,33,6.57,1.83,13.50,9.82,7.78,6.18,5.35,LU,0
122,33,6.63,1.86,13.52,9.95,7.71,6.16,5.37,LU,0
122,33,6.64,1.84,13.56,10.00,7.72,6.22,5.33,LU,0
122,34,5.28,1.48,11.05,8.29,6.35,5.26,4.97,LU,0
122,34,5.40,1.47,11.26,8.14,6.33,5.29,4.95,LU,0
122,34,5.39,1.49,11.26,8.30,6.49,5.17,4.99,LU,0
122,34,5.29,1.49,11.26,8.27,6.44,5.26,4.99,LU,0
122,35,5.92,1.78,12.09,9.61,8.09,6.23,5.19,LU,0
122,35,5.94,1.76,12.29,9.73,8.07,6.18,5.18,LU,0
122,35,5.89,1.76,12.39,9.56,8.09,6.19,5.17,LU,0
122,35,6.06,1.79,12.12,9.74,8.07,6.24,5.20,LU,0
122,36,6.36,1.62,13.10,9.92,7.09,6.52,4.99,LU,0
122,36,6.32,1.62,12.98,9.84,7.16,6.53,5.02,LU,0
122,36,6.31,1.61,12.98,9.76,6.95,6.53,4.98,LU,0
122,36,6.36,1.61,13.19,9.92,6.96,6.44,4.99,LU,0
122,37,6.92,1.92,13.49,10.06,7.21,6.10,5.24,LU,0
122,37,6.99,1.93,13.44,10.06,7.26,6.13,5.20,LU,0
122,37,7.00,1.90,13.59,10.18,7.37,6.11,5.21,LU,0
122,37,6.89,1.92,13.61,10.14,7.38,6.18,5.24,LU,0
122,38,6.02,1.55,13.67,9.53,8.37,6.33,4.92,LU,1
122,38,6.01,1.53,13.65,9.43,8.55,6.32,4.89,LU,1
122,38,6.06,1.51,13.60,9.47,8.42,6.37,4.88,LU,1
122,38,6.06,1.51,13.81,9.39,8.36,6.29,4.90,LU,1
122,39,6.43,1.60,12.99,9.47,6.93,6.38,5.33,LU,0
122,39,6.37,1.56,12.96,9.58,6.89,6.37,5.39,LU,0
122,39,6.44,1.58,12.93,9.51,6.84,6.32,5.35,LU,0
122,39,6.27,1.60,12.83,9.44,6.95,6.34,5.35,LU,0
122,40,5.41,1.49,11.57,8.46,6.52,5.71,4.96,LU,0
122,40,5.44,1.54,11.52,8.61,6.61,5.61,4.94,LU,0
122,40,5.37,1.54,11.43,8.49,6.49,5.61,4.95,LU,0
122,40,5.37,1.50,11.37,8.56,6.60,5.60,4.96,LU,0
122,41,6.87,1.88,13.41,10.68,7.54,6.60,5.11,LU,0
122,41,6.78,1.87,13.40,10.49,7.44,6.65,5.14,LU,0
122,41,6.82,1.87,13.55,10.49,7.53,6.61,5.12,LU,0
122,41,6.82,1.88,13.59,10.52,7.40,6.61,5.13,LU,0
122,42,6.02,1.69,11.79,9.21,7.30,5.51,5.12,LU,1
122,42,6.03,1.69,11.77,9.13,7.30,5.46,5.12,LU,1
122,42,6.01,1.71,11.90,9.02,7.14,5.49,5.14,LU,1
122,42,6.09,1.71,11.92,9.18,7.30,5.49,5.12,LU,1
122,43,5.61,1.56,12.59,8.76,7.26,5.42,5.07,LU,1
122,43,5.74,1.55,12.42,8.93,7.33,5.35,5.04,LU,1
122,43,5.71,1.58,12.49,8.76,7.36,5.38,5.08,LU,1
122,43,5.64,1.55,12.45,8.71,7.28,5.45,5.04,LU,1
122,44,6.31,1.74,13.03,9.70,7.68,6.12,5.23,LU,1
122,44,6.25,1.76,13.32,9.58,7.73,6.14,5.22,LU,1
122,44,6.25,1.74,13.10,9.69,7.75,6.09,5.22,LU,1
122,44,6.20,1.73,13.11,9.69,7.70,6.08,5.22,LU,1
122,45,6.04,1.77,13.36,9.05,7.94,5.56,5.00,LU,1
122,45,6.07,1.77,13.39,9.19,7.90,5.63,5.00,LU,1
122,45,5.98,1.78,13.36,9.10,7.84,5.58,4.99,LU,1
122,45,6.09,1.80,13.32,9.23,7.78,5.66,5.03,LU,1
122,46,7.39,1.98,15.21,11.51,8.60,7.15,5.44,LU,0
122,46,7.46,2.02,14.96,11.47,8.58,7.20,5.45,LU,0
122,46,7.51,1.98,14.93,11.46,8.69,7.19,5.49,LU,0
122,46,7.49,2.03,14.90,11.52,8.61,7.23,5.47,LU,0
122,47,6.85,1.88,14.04,10.27,8.33,6.27,5.28,LU,1
122,47,6.78,1.85,13.78,10.27,8.29,6.26,5.31,LU,1
122,47,6.88,1.89,13.88,10.24,8.32,6.26,5.30,LU,1
122,47,6.93,1.86,14.02,10.12,8.30,6.29,5.29,LU,1
122,48,4.87,1.30,11.10,8.09,7.59,5.37,4.93,LU,1
122,48,4.87,1.33,11.22,8.05,7.45,5.41,4.94,LU,1
122,48,4.99,1.32,11.14,8.09,7.55,5.34,4.96,LU,1
122,48,4.88,1.33,11.03,8.19,7.55,5.32,4.96,LU,1
122,49,6.83,1.91,14.39,10.23,8.39,6.52,5.54,LU,1
122,49,6.79,1.91,14.36,10.42,8.27,6.50,5.50,LU,1
122,49,6.69,1.91,14.13,10.27,8.30,6.55,5.55,LU,1
122,49,6.72,1.96,14.37,10.22,8.40,6.53,5.52,LU,1
122,50,5.84,1.83,12.41,8.82,7.06,4.94,5.21,LU,1
122,50,5.92,1.84,12.43,8.78,7.24,5.04,5.19,LU,1
122,50,5.84,1.80,12.25,8.83,7.18,4.99,5.15,LU,1
122,50,5.76,1.85,12.32,8.84,7.14,5.01,5.21,LU,1
122,51,5.96,1.76,12.31,9.64,7.15,6.18,5.45,LU,0
122,51,6.08,1.81,12.21,9.50,7.18,6.24,5.46,LU,0
122,51,5.98,1.81,12.19,9.49,7.15,6.22,5.46,LU,0
122,51,6.07,1.78,12.11,9.57,7.11,6.23,5.43,LU,0
122,52,5.61,1.44,12.33,8.77,7.32,5.93,4.04,LU,0
122,52,5.54,1.41,12.12,8.61,7.37,5.91,4.02,LU,0
122,52,5.64,1.38,12.08,8.68,7.31,5.88,4.04,LU,0
122,52,5.51,1.41,12.34,8.65,7.39,6.00,4.03,LU,0
122,53,5.72,1.48,12.60,9.16,6.94,6.19,5.01,LU,0
122,53,5.71,1.45,12.59,9.21,6.94,6.21,4.96,LU,0
122,53,5.84,1.46,12.33,8.97,6.91,6.25,5.01,LU,0
122,53,5.83,1.46,12.44,9.14,7.09,6.26,5.01,LU,0
122,54,6.11,1.50,12.87,9.34,7.24,6.32,4.90,LU,0
122,54,6.07,1.49,12.85,9.33,7.12,6.35,4.92,LU,0
122,54,6.17,1.49,12.95,9.34,7.17,6.41,4.93,LU,0
122,54,6.19,1.47,12.79,9.41,7.11,6.33,4.91,LU,0
122,55,6.64,1.78,13.18,10.07,7.32,6.56,5.12,LU,0
122,55,6.70,1.79,13.32,10.18,7.20,6.54,5.14,LU,0
122,55,6.71,1.76,13.35,10.28,7.24,6.51,5.14,LU,0
122,55,6.75,1.79,13.25,10.15,7.28,6.50,5.12,LU,0
122,56,6.59,1.71,14.07,10.52,7.89,6.68,5.40,LU,1
