Lote,Individuo,AE,LE,AT,LT,AA,LA,NV,Morfotipo,Ratio_LE_AE,Ratio_LT_AT,Ratio_LA_AA,Ratio_LE_LT,Ratio_AE_AT,Ratio_LA_LT,Ratio_AA_AT,Ratio_LE_LA,Ratio_AE_AA
101,19,4.66,1.39,10.07,7.29,5.6,4.68,5.26,LU,0.2982832618025751,0.7239324726911619,0.8357142857142857,0.19067215363511658,0.4627606752730884,0.6419753086419753,0.5561072492552135,0.297008547008547,0.8321428571428572
101,20,5.22,1.39,11.36,7.92,6.41,5.5,5.23,LU,0.26628352490421453,0.6971830985915494,0.8580343213728548,0.1755050505050505,0.4595070422535211,0.6944444444444444,0.5642605633802817,0.2527272727272727,0.814352574102964
101,21,5.5,1.85,12.14,8.88,6.83,5.77,4.14,LU,0.33636363636363636,0.7314662273476112,0.8448023426061493,0.20833333333333331,0.4530477759472817,0.6497747747747746,0.5626029654036243,0.32062391681109187,0.8052708638360175
101,22,5.04,1.48,11.37,8.05,6.07,5.47,4.55,LU,0.29365079365079366,0.7080035180299034,0.901153212520593,0.1838509316770186,0.4432717678100264,0.679503105590062,0.5338610378188215,0.27056672760511885,0.8303130148270181
101,23,5.18,1.45,11.76,8.2,6.61,5.63,5.26,LU,0.2799227799227799,0.6972789115646258,0.8517397881996974,0.17682926829268295,0.44047619047619047,0.6865853658536586,0.5620748299319728,0.25754884547069273,0.7836611195158849
101,24,4.71,1.2,10.82,7.58,6.18,5.33,4.1,LU,0.25477707006369427,0.7005545286506469,0.8624595469255664,0.15831134564643798,0.4353049907578558,0.7031662269129287,0.5711645101663586,0.225140712945591,0.7621359223300971
101,25,4.24,1.28,9.34,7.3,5.69,4.79,5.17,LU,0.3018867924528302,0.7815845824411135,0.8418277680140597,0.17534246575342466,0.45396145610278377,0.6561643835616439,0.6092077087794433,0.26722338204592905,0.7451669595782073
101,26,4.86,1.53,10.28,7.72,5.62,4.91,5.09,LU,0.3148148148148148,0.7509727626459144,0.8736654804270463,0.19818652849740934,0.47276264591439693,0.6360103626943006,0.5466926070038911,0.31160896130346233,0.8647686832740213
101,27,5.35,1.73,10.81,9.16,7.09,5.66,5.48,LU,0.3233644859813084,0.8473635522664199,0.7983074753173485,0.1888646288209607,0.4949121184088806,0.6179039301310044,0.6558741905642923,0.30565371024734983,0.7545839210155147
101,28,4.06,1.17,9.17,6.71,5.42,4.58,4.25,LU,0.28817733990147787,0.7317339149400218,0.8450184501845018,0.1743666169895678,0.4427480916030534,0.6825633383010432,0.5910577971646674,0.2554585152838428,0.7490774907749077
101,29,3.96,1.21,8.94,6.77,5.38,4.46,4.3,LU,0.3055555555555555,0.7572706935123042,0.828996282527881,0.17872968980797638,0.4429530201342282,0.6587887740029542,0.6017897091722595,0.2713004484304933,0.7360594795539034
101,30,4.1,1.26,9.2,6.68,5.21,4.46,4.35,LU,0.30731707317073176,0.7260869565217392,0.8560460652591171,0.18862275449101798,0.44565217391304346,0.6676646706586826,0.566304347826087,0.2825112107623318,0.7869481765834933
102,2,5.8,1.62,12.4,8.89,7.37,5.43,4.8,LU,0.2793103448275862,0.7169354838709677,0.7367706919945726,0.18222722159730034,0.46774193548387094,0.6107986501687288,0.5943548387096774,0.2983425414364641,0.7869742198100407
117,1,7.07,1.73,15.04,10.57,8.96,6.67,5.27,LU,0.24469589816124468,0.7027925531914894,0.7444196428571428,0.16367076631977293,0.4700797872340426,0.6310312204351939,0.5957446808510639,0.2593703148425787,0.7890625
